MPG	Type	Odometer	Octane
34.5 	sedan	75000	87.5 
33.3 	sedan	60000	87.5 
30.4 	sedan	88000	78.0 
32.8 	sedan	15000	78.0 
35.0 	sedan	25000	90.0 
29.0 	sedan	35000	78.0 
32.5 	sedan	102000	90.0 
29.6 	sedan	98000	87.5 
16.8 	van	56000	87.5 
19.2 	van	72000	90.0 
22.6 	van	14500	87.5 
24.4 	van	22000	90.0 
20.7 	van	66500	78.0 
25.1 	van	35000	90.0 
18.8 	van	97500	87.5 
15.8 	van	65500	78.0 
17.4 	van	42000	78.0 
15.6 	suv	65000	78.0 
17.3 	suv	55500	87.5 
20.8 	suv	26500	87.5 
22.2 	suv	11500	90.0 
16.5 	suv	38000	78.0 
21.3 	suv	77500	90.0 
20.7 	suv	19500	78.0 
24.1 	suv	87000	90.0 
