Cable	Tensile-Strength
1	5
1	-13
1	-5
1	-2
1	-10
1	-6
1	-5
1	0
1	-3
1	2
1	-7
1	-5
2	-11
2	-13
2	-8
2	8
2	-3
2	-12
2	-12
2	-10
2	5
2	-6
2	-12
2	-10
3	0
3	-10
3	-15
3	-12
3	-2
3	-8
3	-5
3	0
3	-4
3	-1
3	-5
3	-11
4	-12
4	4
4	2
4	10
4	-5
4	-8
4	-12
4	0
4	-5
4	-3
4	-3
4	0
5	7
5	1
5	5
5	0
5	10
5	6
5	5
5	2
5	0
5	-1
5	-10
5	-2
6	1
6	0
6	-5
6	-4
6	-1
6	0
6	2
6	5
6	1
6	-2
6	6
6	7
7	-1
7	0
7	2
7	1
7	-4
7	2
7	7
7	5
7	1
7	0
7	-4
7	2
8	-1
8	0
8	7
8	5
8	10
8	8
8	1
8	2
8	-3
8	6
8	0
8	5
9	2
9	6
9	7
9	8
9	15
9	11
9	-7
9	7
9	10
9	7
9	8
9	1
