Coating	Humidity	Corrosion-fatigue
U	L	361.0 
U	L	466.0 
U	L	1069.0 
U	L	469.0 
U	L	937.0 
U	L	1357.0 
U	M	314.0 
U	M	244.0 
U	M	261.0 
U	M	522.0 
U	M	739.0 
U	M	134.0 
U	H	1344.0 
U	H	1027.0 
U	H	663.0 
U	H	1216.0 
U	H	1097.0 
U	H	1011.0 
A	L	114.0 
A	L	1236.0 
A	L	533.0 
A	L	1032.0 
A	L	92.0 
A	L	211.0 
A	M	322.0 
A	M	306.0 
A	M	68.0 
A	M	471.0 
A	M	130.0 
A	M	398.0 
A	H	78.0 
A	H	387.0 
A	H	130.0 
A	H	466.0 
A	H	107.0 
A	H	327.0 
C	L	130.0 
C	L	841.0 
C	L	1595.0 
C	L	1482.0 
C	L	529.0 
C	L	754.0 
C	M	252.0 
C	M	105.0 
C	M	847.0 
C	M	874.0 
C	M	755.0 
C	M	573.0 
C	H	586.0 
C	H	402.0 
C	H	846.0 
C	H	524.0 
C	H	751.0 
C	H	529.0 
