A	B	C	DATA
1 	1	1	15.0 
1 	1	1	18.5 
1 	1	1	22.1 
1 	2	1	14.8 
1 	2	1	13.6 
1 	2	1	12.2 
1 	3	1	15.9 
1 	3	1	14.8 
1 	3	1	13.6 
1 	1	2	16.8 
1 	1	2	15.4 
1 	1	2	14.3 
1 	2	2	14.2 
1 	2	2	12.9 
1 	2	2	13.0 
1 	3	2	13.2 
1 	3	2	11.6 
1 	3	2	10.1 
1 	1	3	15.8 
1 	1	3	14.3 
1 	1	3	13.0 
1 	2	3	15.5 
1 	2	3	13.7 
1 	2	3	12.6 
1 	3	3	19.2 
1 	3	3	13.5 
1 	3	3	11.1 
2 	1	1	11.3 
2 	1	1	14.6 
2 	1	1	18.2 
2 	2	1	17.2 
2 	2	1	15.5 
2 	2	1	14.2 
2 	3	1	16.1 
2 	3	1	14.7 
2 	3	1	13.4 
2 	1	2	18.9 
2 	1	2	17.3 
2 	1	2	16.1 
2 	2	2	15.4 
2 	2	2	17.0 
2 	2	2	18.6 
2 	3	2	12.4 
2 	3	2	13.6 
2 	3	2	15.2 
2 	1	3	12.7 
2 	1	3	14.2 
2 	1	3	15.9 
2 	2	3	17.3 
2 	2	3	15.8 
2 	2	3	14.6 
2 	3	3	7.8 
2 	3	3	11.5 
2 	3	3	12.2 
