A	B	C	Weight
1	1	H	38.62
1	1	H	37.20
1	1	H	38.02
1	2	H	38.45
1	2	H	38.64
1	2	H	38.75
2	1	H	37.67
2	1	H	37.57
2	1	H	37.85
2	2	H	37.81
2	2	H	37.75
2	2	H	37.91
3	1	H	37.51
3	1	H	37.74
3	1	H	37.58
3	2	H	37.21
3	2	H	37.42
3	2	H	37.79
4	1	H	37.52
4	1	H	37.15
4	1	H	37.51
4	2	H	37.60
4	2	H	37.55
4	2	H	37.91
1	1	R	39.82
1	1	R	39.15
1	1	R	39.78
1	2	R	39.82
1	2	R	40.26
1	2	R	39.72
2	1	R	39.53
2	1	R	39.76
2	1	R	39.90
2	2	R	39.56
2	2	R	39.25
2	2	R	39.04
3	1	R	39.34
3	1	R	39.60
3	1	R	39.62
3	2	R	39.74
3	2	R	39.49
3	2	R	39.45
4	1	R	40.09
4	1	R	39.63
4	1	R	39.67
4	2	R	39.36
4	2	R	39.38
4	2	R	39.00
