Coating	Humidity	Stress	Fatigue
U	L	13000	4580
U	L	13000	10126
U	L	13000	1341
U	L	13000	6414
U	L	13000	3549
U	L	17000	5252
U	L	17000	897
U	L	17000	1465
U	L	17000	2694
U	L	17000	1017
U	L	20000	361
U	L	20000	466
U	L	20000	1069
U	L	20000	469
U	L	20000	937
U	M	13000	2858
U	M	13000	8829
U	M	13000	10914
U	M	13000	4067
U	M	13000	2595
U	M	17000	799
U	M	17000	3471
U	M	17000	685
U	M	17000	810
U	M	17000	3409
U	M	20000	314
U	M	20000	244
U	M	20000	261
U	M	20000	522
U	M	20000	739
U	H	13000	6489
U	H	13000	5248
U	H	13000	6816
U	H	13000	5860
U	H	13000	5901
U	H	17000	1862
U	H	17000	2710
U	H	17000	2632
U	H	17000	2131
U	H	17000	2470
U	H	20000	1344
U	H	20000	1027
U	H	20000	663
U	H	20000	1216
U	H	20000	1097
C	L	13000	5395
C	L	13000	2768
C	L	13000	1821
C	L	13000	3604
C	L	13000	4106
C	L	17000	4035
C	L	17000	2022
C	L	17000	914
C	L	17000	2036
C	L	17000	3524
C	L	20000	130
C	L	20000	841
C	L	20000	1595
C	L	20000	1482
C	L	20000	529
C	M	13000	4833
C	M	13000	7414
C	M	13000	10022
C	M	13000	7463
C	M	13000	21906
C	M	17000	1847
C	M	17000	1684
C	M	17000	3042
C	M	17000	4482
C	M	17000	996
C	M	20000	252
C	M	20000	105
C	M	20000	847
C	M	20000	874
C	M	20000	755
C	H	13000	3287
C	H	13000	5200
C	H	13000	5493
C	H	13000	4145
C	H	13000	3336
C	H	17000	1319
C	H	17000	929
C	H	17000	1263
C	H	17000	2236
C	H	17000	1392
C	H	20000	586
C	H	20000	402
C	H	20000	846
C	H	20000	524
C	H	20000	751
