Temp	Surface	Hardness	Power
1	1	20	0.52
1	1	20	0.44
1	1	20	0.57
1	1	20	0.53
1	1	40	0.54
1	1	40	0.52
1	1	40	0.65
1	1	40	0.56
1	1	60	0.60
1	1	60	0.55
1	1	60	0.78
1	1	60	0.68
1	2	20	0.64
1	2	20	0.59
1	2	20	0.58
1	2	20	0.64
1	2	40	0.79
1	2	40	0.73
1	2	40	0.79
1	2	40	0.78
1	2	60	0.49
1	2	60	0.48
1	2	60	0.74
1	2	60	0.50
1	3	20	0.67
1	3	20	0.77
1	3	20	0.74
1	3	20	0.65
1	3	40	0.58
1	3	40	0.68
1	3	40	0.57
1	3	40	0.59
1	3	60	0.55
1	3	60	0.65
1	3	60	0.57
1	3	60	0.58
2	1	20	0.46
2	1	20	0.40
2	1	20	0.58
2	1	20	0.37
2	1	40	0.31
2	1	40	0.49
2	1	40	0.48
2	1	40	0.66
2	1	60	0.56
2	1	60	0.42
2	1	60	0.49
2	1	60	0.49
2	2	20	0.60
2	2	20	0.43
2	2	20	0.62
2	2	20	0.61
2	2	40	0.66
2	2	40	0.57
2	2	40	0.72
2	2	40	0.56
2	2	60	0.64
2	2	60	0.54
2	2	60	0.74
2	2	60	0.56
2	3	20	0.53
2	3	20	0.65
2	3	20	0.66
2	3	20	0.56
2	3	40	0.53
2	3	40	0.45
2	3	40	0.59
2	3	40	0.47
2	3	60	0.56
2	3	60	0.66
2	3	60	0.71
2	3	60	0.67
3	1	20	0.52
3	1	20	0.44
3	1	20	0.57
3	1	20	0.53
3	1	40	0.54
3	1	40	0.52
3	1	40	0.65
3	1	40	0.56
3	1	60	0.65
3	1	60	0.49
3	1	60	0.65
3	1	60	0.52
3	2	20	0.53
3	2	20	0.65
3	2	20	0.66
3	2	20	0.56
3	2	40	0.53
3	2	40	0.45
3	2	40	0.59
3	2	40	0.47
3	2	60	0.49
3	2	60	0.48
3	2	60	0.74
3	2	60	0.50
3	3	20	0.43
3	3	20	0.43
3	3	20	0.47
3	3	20	0.44
3	3	40	0.48
3	3	40	0.31
3	3	40	0.43
3	3	40	0.27
3	3	60	0.55
3	3	60	0.65
3	3	60	0.57
3	3	60	0.58
