position	range	input	sensitivity
A1	B1	C1	151
A1	B1	C1	135
A1	B1	C2	151
A1	B1	C2	135
A1	B1	C3	151
A1	B1	C3	138
A1	B2	C1	178
A1	B2	C1	171
A1	B2	C2	180
A1	B2	C2	173
A1	B2	C3	181
A1	B2	C3	174
A1	B3	C1	204
A1	B3	C1	190
A1	B3	C2	205
A1	B3	C2	190
A1	B3	C3	206
A1	B3	C3	192
A2	B1	C1	156
A2	B1	C1	148
A2	B1	C2	158
A2	B1	C2	149
A2	B1	C3	158
A2	B1	C3	150
A2	B2	C1	183
A2	B2	C1	168
A2	B2	C2	183
A2	B2	C2	170
A2	B2	C3	183
A2	B2	C3	172
A2	B3	C1	210
A2	B3	C1	204
A2	B3	C2	211
A2	B3	C2	203
A2	B3	C3	213
A2	B3	C3	204
A3	B1	C1	161
A3	B1	C1	145
A3	B1	C2	162
A3	B1	C2	148
A3	B1	C3	163
A3	B1	C3	148
A3	B2	C1	189
A3	B2	C1	182
A3	B2	C2	191
A3	B2	C2	184
A3	B2	C3	192
A3	B2	C3	183
A3	B3	C1	215
A3	B3	C1	202
A3	B3	C2	216
A3	B3	C2	203
A3	B3	C3	217
A3	B3	C3	205
