solvent	temp	time	gel generated
ethanol	120	4.00	94.0
ethanol	120	4.00	94.0
ethanol	120	8.00	93.8
ethanol	120	8.00	94.2
ethanol	120	24.00	91.1
ethanol	120	24.00	90.5
ethanol	80	4.00	95.3
ethanol	80	4.00	95.1
ethanol	80	8.00	94.9
ethanol	80	8.00	95.3
ethanol	80	24.00	92.5
ethanol	80	24.00	92.4
toluene	120	4.00	94.6
toluene	120	4.00	94.5
toluene	120	8.00	93.6
toluene	120	8.00	94.1
toluene	120	24.00	91.1
toluene	120	24.00	91.0
toluene	80	4.00	95.4
toluene	80	4.00	95.4
toluene	80	8.00	95.6
toluene	80	8.00	96.0
toluene	80	24.00	92.1
toluene	80	24.00	92.1
